name,name_japanese,team,year,games,avg,obp,slg,hits,hr,rbi,runs,sb
Sadaharu Oh,王 貞治,Yomiuri Giants,2024,,0.32,0.4,0.5,150,500,100,100,
Shigeo Nagashima,長嶋 茂雄,Yomiuri Giants,2024,,0.32,0.4,0.5,150,400,100,100,
Hayato Sakamoto,坂本 勇人,Yomiuri Giants,2024,,0.3,,,150,200,500,100,100
Kazuma Okamoto,岡本 和真,Yomiuri Giants,2024,,,,,,200,100,100,
Alex Ramirez,アレックス・ラミレス,Yakult Swallows,2024,,0.3,,,150,300,100,100,
Nobuhiro Matsuda,松田 宣浩,SoftBank Hawks,2024,,,,,,30,,,
Randy Bass,ランディ・バース,Hanshin Tigers,2024,,0.32,0.4,0.5,,100,100,,
Akinobu Okada,岡田 彰布,Hanshin Tigers,2024,,,,,,30,,,
Masayuki Kakefu,掛布 雅之,Hanshin Tigers,2024,,,,,,30,100,,
Munetaka Murakami,村上 宗隆,Yakult Swallows,2024,,0.32,,,150,200,100,100,
Tetsuto Yamada,山田 哲人,Yakult Swallows,2024,,0.3,,,150,100,100,100,200
Wladimir Balentien,ウラディミール・バレンティン,Yakult Swallows,2024,,,,,,200,100,100,
Atsuya Furuta,古田 敦也,Yakult Swallows,2024,,0.3,,,150,,500,,
Yuki Yanagita,柳田 悠岐,SoftBank Hawks,2024,,0.32,0.4,,150,200,100,100,100
Tadahito Iguchi,井口 資仁,SoftBank Hawks,2024,,0.3,,,150,200,500,100,100
Kazuhiro Kiyohara,清原 和博,Seibu Lions,2024,,,,,,30,100,,
Katsuya Nomura,野村 克也,Nankai Hawks,2024,,0.3,0.4,0.5,,500,100,100,
Hiroki Kokubo,小久保 裕紀,SoftBank Hawks,2024,,,,,,30,100,,
Masataka Yoshida,吉田 正尚,Orix Buffaloes,2024,,0.32,0.4,,150,100,80,100,
Ichiro Suzuki,イチロー,Orix BlueWave,2024,,0.32,0.4,,200,,,500,200
Tuffy Rhodes,タフィ・ローズ,Kintetsu Buffaloes,2024,,,,,,30,100,,
Hiromitsu Ochiai,落合 博満,Lotte Orions,2024,,0.32,0.4,0.5,150,400,100,100,
Kosuke Fukudome,福留 孝介,Chunichi Dragons,2024,,0.3,,,150,100,500,100,100
Shinichi Sato,佐藤 真一,Chunichi Dragons,2024,,,,,,30,100,,
Koji Yamamoto,山本 浩二,Hiroshima Toyo Carp,2024,,0.3,0.4,0.5,150,300,100,100,
Seiya Suzuki,鈴木 誠也,Hiroshima Toyo Carp,2024,,,,,,30,100,,
Takahiro Arai,新井 貴浩,Hiroshima Toyo Carp,2024,,,,,,30,100,,
Tomonori Maeda,前田 智徳,Hiroshima Toyo Carp,2024,,,,,,30,,,
Tadahito Iguchi,井口 資仁,Chiba Lotte Marines,2024,,0.3,,,150,200,500,100,100
Kazuhiro Wada,和田 一浩,Seibu Lions,2024,,0.3,,,150,300,100,100,
Koji Akiyama,秋山 幸二,Seibu Lions,2024,,0.3,,,150,400,100,100,200
Takeya Nakamura,中村 剛也,Seibu Lions,2024,,,,,,30,100,,
Takahiro Saeki,佐伯 貴弘,Yokohama BayStars,2024,,,,,,30,,,
Yoshitomo Tsutsugo,筒香 嘉智,Yokohama DeNA BayStars,2024,,,,,,30,100,,
Kazuo Matsui,松井 稼頭央,Rakuten Eagles,2024,,0.3,,,150,100,,100,300
Hideto Asamura,浅村 栄斗,Rakuten Eagles,2024,,0.3,,,150,200,100,100,
Shohei Ohtani,大谷 翔平,Nippon-Ham Fighters,2024,,0.3,,,,100,100,,20
Atsunori Inaba,稲葉 篤紀,Yakult Swallows,2024,,0.3,,,150,100,100,100,
